latitude,longitude,severity,type,timestamp
13.065710,80.290553,1,Burglary,2024-10-03T14:00:00
19.065708,72.862811,5,Harassment,2024-11-05T18:00:00
22.575508,88.425369,3,Assault,2024-08-14T00:00:00
12.986900,80.220576,7,Robbery,2024-02-06T20:00:00
19.075605,72.835037,6,Assault,2024-06-10T21:00:00
28.616400,77.080811,3,Harassment,2024-11-20T19:00:00
17.487766,78.419837,3,Robbery,2024-01-23T06:00:00
22.550627,88.270397,8,Theft,2024-11-05T18:00:00
28.590812,77.083993,9,Robbery,2024-05-21T00:00:00
13.063085,80.303999,10,Harassment,2024-07-19T13:00:00
28.694685,77.006470,4,Theft,2024-04-27T19:00:00
13.033210,77.564127,7,Harassment,2024-03-28T12:00:00
28.698604,77.087740,8,Burglary,2024-01-17T10:00:00
22.515746,88.359865,3,Theft,2024-05-10T14:00:00
12.996510,77.678575,8,Burglary,2024-04-15T20:00:00
28.760468,77.080296,10,Vandalism,2024-01-05T09:00:00
19.102374,72.915775,1,Robbery,2024-09-07T14:00:00
28.855807,77.133593,8,Assault,2024-11-27T17:00:00
28.763173,76.944734,1,Vandalism,2024-12-15T05:00:00
17.319960,78.436183,8,Assault,2024-03-05T04:00:00
17.300243,78.467108,3,Harassment,2024-04-21T13:00:00
18.513936,73.828487,2,Burglary,2024-05-10T12:00:00
22.631659,88.380585,6,Harassment,2024-06-01T17:00:00
18.556948,73.901451,5,Burglary,2024-03-25T10:00:00
12.995901,80.200846,6,Theft,2024-01-02T03:00:00
18.500927,73.838111,6,Vandalism,2024-09-10T18:00:00
22.606531,88.392478,3,Harassment,2024-07-25T10:00:00
22.571470,88.346626,5,Robbery,2024-03-07T14:00:00
22.475741,88.348837,3,Harassment,2024-06-19T02:00:00
13.085886,80.277368,9,Vandalism,2024-08-23T19:00:00
17.421619,78.514492,10,Theft,2024-06-09T07:00:00
12.926552,77.617103,2,Harassment,2024-02-19T18:00:00
22.469452,88.400237,7,Assault,2024-04-18T04:00:00
28.532851,77.012717,4,Vandalism,2024-07-04T18:00:00
22.572340,88.404042,3,Assault,2024-11-10T08:00:00
17.340973,78.393739,3,Harassment,2024-01-08T20:00:00
18.511519,73.775514,8,Assault,2024-02-03T12:00:00
19.131297,72.677379,1,Robbery,2024-12-16T05:00:00
18.516536,73.954912,10,Harassment,2024-12-02T23:00:00
28.776286,77.051874,8,Assault,2024-07-24T16:00:00
18.962579,72.940177,3,Robbery,2024-05-19T21:00:00
17.333734,78.430446,5,Vandalism,2024-11-23T15:00:00
13.047661,80.321167,8,Theft,2024-12-10T09:00:00
28.713186,77.048189,7,Harassment,2024-10-18T16:00:00
28.663177,77.047901,1,Vandalism,2024-11-08T13:00:00
28.732259,77.081195,8,Vandalism,2024-01-17T06:00:00
28.735853,77.143477,10,Theft,2024-02-11T03:00:00
19.127866,72.912345,9,Assault,2024-11-14T09:00:00
22.572223,88.342691,8,Harassment,2024-03-25T19:00:00
17.313290,78.344174,8,Vandalism,2024-11-10T00:00:00
18.559145,73.907292,4,Vandalism,2024-02-10T08:00:00
17.365714,78.405601,10,Assault,2024-09-05T09:00:00
18.537001,73.855732,4,Robbery,2024-07-09T18:00:00
22.637514,88.343891,3,Harassment,2024-07-26T10:00:00
13.113464,80.300202,1,Harassment,2024-06-07T10:00:00
18.529699,73.878594,1,Vandalism,2024-06-20T04:00:00
19.020380,72.894689,10,Vandalism,2024-10-16T04:00:00
12.903640,77.662298,8,Theft,2024-02-25T23:00:00
19.012894,72.842577,5,Theft,2024-08-02T20:00:00
22.595347,88.330892,9,Theft,2024-09-21T03:00:00
13.059502,80.286657,6,Harassment,2024-03-20T18:00:00
18.557612,73.849601,10,Assault,2024-11-03T05:00:00
13.080007,80.281629,9,Assault,2024-08-14T21:00:00
13.021516,80.253769,3,Assault,2024-08-07T04:00:00
17.439702,78.436945,6,Theft,2024-05-18T02:00:00
13.076392,80.311674,5,Burglary,2024-01-25T17:00:00
28.723822,76.967203,7,Assault,2024-03-28T14:00:00
13.056660,77.517836,6,Burglary,2024-11-18T16:00:00
18.480893,73.863674,4,Assault,2024-10-19T09:00:00
22.609313,88.353534,2,Robbery,2024-04-08T20:00:00
12.964385,77.571598,9,Theft,2024-06-16T08:00:00
13.022097,80.295519,5,Robbery,2024-05-23T14:00:00
12.956786,77.680332,3,Theft,2024-09-12T11:00:00
18.524297,73.893819,5,Robbery,2024-05-06T08:00:00
12.957497,77.555047,4,Assault,2024-09-15T11:00:00
22.590631,88.344901,5,Theft,2024-01-10T10:00:00
12.990588,77.589386,3,Burglary,2024-03-23T03:00:00
12.937668,80.347375,6,Theft,2024-08-19T15:00:00
17.445842,78.508217,1,Burglary,2024-09-04T03:00:00
12.870635,77.602767,6,Vandalism,2024-04-13T10:00:00
13.156915,80.307655,6,Theft,2024-05-19T12:00:00
22.614838,88.423402,2,Vandalism,2024-03-16T01:00:00
13.016077,80.241569,3,Assault,2024-06-17T18:00:00
22.551908,88.447413,10,Theft,2024-08-09T11:00:00
19.014787,72.904961,7,Burglary,2024-05-18T07:00:00
17.471138,78.487027,5,Robbery,2024-12-04T03:00:00
22.651011,88.431148,6,Harassment,2024-09-22T08:00:00
18.424327,73.854935,4,Robbery,2024-11-02T16:00:00
12.954042,77.651414,5,Vandalism,2024-07-03T22:00:00
17.393181,78.420546,8,Burglary,2024-12-22T15:00:00
22.598617,88.368253,8,Robbery,2024-04-07T22:00:00
28.663387,77.281029,3,Robbery,2024-03-21T23:00:00
19.079042,72.790003,10,Vandalism,2024-09-25T06:00:00
19.123874,72.889615,7,Vandalism,2024-01-28T13:00:00
17.232582,78.440346,2,Burglary,2024-12-25T01:00:00
28.752348,77.226436,1,Vandalism,2024-08-20T16:00:00
22.600089,88.430450,7,Theft,2024-03-18T00:00:00
12.945125,77.667340,5,Robbery,2024-03-19T11:00:00
19.064461,72.850958,8,Assault,2024-02-28T08:00:00
13.035798,77.591737,10,Burglary,2024-07-05T10:00:00
28.685085,77.135827,3,Robbery,2024-06-03T09:00:00
18.577250,73.852765,10,Harassment,2024-03-24T22:00:00
13.093360,80.203711,7,Theft,2024-08-07T17:00:00
18.539446,73.847148,3,Assault,2024-10-20T03:00:00
13.101826,80.340858,6,Robbery,2024-08-27T19:00:00
17.366193,78.546778,9,Robbery,2024-03-22T20:00:00
12.979811,77.556293,10,Vandalism,2024-12-08T15:00:00
17.448289,78.537634,9,Theft,2024-08-20T02:00:00
28.630460,77.218320,9,Robbery,2024-12-20T07:00:00
22.471409,88.325903,3,Theft,2024-05-10T05:00:00
18.460465,73.884929,2,Assault,2024-09-15T11:00:00
28.610450,77.161847,3,Burglary,2024-05-12T21:00:00
22.700390,88.266774,8,Assault,2024-04-22T22:00:00
13.082447,80.222865,4,Burglary,2024-02-16T18:00:00
22.603179,88.450420,8,Harassment,2024-02-28T08:00:00
13.086863,77.607570,8,Vandalism,2024-01-26T08:00:00
12.920958,77.616118,1,Assault,2024-07-17T08:00:00
17.374017,78.544967,2,Robbery,2024-01-28T12:00:00
12.999669,77.514668,2,Theft,2024-05-12T15:00:00
18.569868,73.887947,2,Harassment,2024-06-10T18:00:00
17.407191,78.365117,4,Burglary,2024-02-14T15:00:00
22.489872,88.339742,7,Robbery,2024-06-17T18:00:00
12.944758,77.567869,7,Burglary,2024-08-26T17:00:00
28.643925,77.114010,7,Harassment,2024-04-28T19:00:00
19.015106,72.899289,5,Burglary,2024-01-26T15:00:00
22.508542,88.301029,2,Assault,2024-04-04T06:00:00
12.942070,77.608051,8,Theft,2024-11-28T23:00:00
22.603725,88.457802,10,Burglary,2024-03-10T21:00:00
28.681414,77.110569,4,Assault,2024-07-13T00:00:00
13.016681,77.471466,1,Vandalism,2024-03-16T08:00:00
13.015114,80.303390,2,Vandalism,2024-09-13T05:00:00
13.087173,80.358426,4,Assault,2024-06-13T01:00:00
13.022389,80.324352,8,Robbery,2024-10-11T15:00:00
17.387218,78.435624,6,Robbery,2024-03-22T16:00:00
19.050877,72.885308,10,Harassment,2024-08-20T19:00:00
22.564880,88.381588,7,Assault,2024-11-12T03:00:00
18.581465,73.916674,4,Vandalism,2024-05-04T08:00:00
18.429408,73.940333,6,Robbery,2024-06-12T01:00:00
12.978462,77.643405,8,Robbery,2024-02-08T05:00:00
19.087071,72.841785,9,Assault,2024-07-10T15:00:00
19.073924,72.877490,5,Vandalism,2024-12-02T18:00:00
13.071093,80.280790,7,Robbery,2024-03-19T18:00:00
18.562326,73.895119,9,Burglary,2024-01-20T18:00:00
13.001589,77.658727,6,Burglary,2024-03-12T17:00:00
22.600694,88.451207,6,Vandalism,2024-12-04T01:00:00
22.474827,88.458086,6,Theft,2024-08-09T14:00:00
18.543394,73.854249,4,Vandalism,2024-07-08T06:00:00
19.067207,72.909576,3,Assault,2024-11-28T19:00:00
19.059198,72.913949,5,Harassment,2024-05-26T15:00:00
19.104640,72.948273,4,Theft,2024-08-15T06:00:00
17.460879,78.523373,9,Harassment,2024-06-15T10:00:00
22.605236,88.443552,1,Vandalism,2024-04-25T10:00:00
28.853398,77.047680,4,Burglary,2024-10-06T01:00:00
17.460956,78.533636,5,Assault,2024-01-10T03:00:00
18.510544,73.820501,6,Robbery,2024-11-04T23:00:00
13.012863,77.624340,6,Robbery,2024-02-08T03:00:00
19.075289,72.842471,9,Vandalism,2024-07-14T13:00:00
22.598714,88.294354,10,Burglary,2024-05-23T17:00:00
19.102119,72.968667,7,Theft,2024-11-09T08:00:00
12.980852,77.650592,2,Theft,2024-05-12T18:00:00
12.977889,77.652182,2,Harassment,2024-07-16T23:00:00
28.727627,77.123916,8,Theft,2024-03-05T14:00:00
17.261338,78.420683,1,Assault,2024-12-02T23:00:00
13.046513,80.271142,5,Harassment,2024-04-07T21:00:00
17.313147,78.564104,7,Burglary,2024-06-01T05:00:00
13.097927,80.194720,10,Theft,2024-12-28T12:00:00
22.570984,88.333281,1,Harassment,2024-07-01T01:00:00
28.763193,77.179697,10,Theft,2024-07-04T22:00:00
17.402185,78.414232,7,Theft,2024-01-12T06:00:00
12.957108,77.588167,5,Burglary,2024-02-11T17:00:00
12.873037,77.675035,7,Robbery,2024-07-07T13:00:00
13.190032,80.278810,9,Assault,2024-09-23T04:00:00
22.545027,88.409338,6,Vandalism,2024-03-13T22:00:00
28.832555,77.010475,2,Robbery,2024-02-19T11:00:00
28.706876,77.101866,10,Vandalism,2024-05-22T04:00:00
28.643293,76.987296,6,Vandalism,2024-08-04T18:00:00
22.657098,88.361268,2,Assault,2024-10-17T18:00:00
12.980419,77.604670,7,Burglary,2024-02-05T09:00:00
12.995523,77.579695,3,Theft,2024-08-27T05:00:00
12.887819,77.637001,1,Theft,2024-12-27T08:00:00
18.463569,73.842938,9,Vandalism,2024-09-15T06:00:00
17.405416,78.464192,8,Burglary,2024-03-19T05:00:00
13.117324,80.322723,8,Assault,2024-11-27T13:00:00
18.521336,73.808062,3,Burglary,2024-05-03T08:00:00
17.425335,78.551026,5,Burglary,2024-08-28T03:00:00
18.535581,73.811832,4,Robbery,2024-04-09T20:00:00
22.532695,88.306639,5,Harassment,2024-02-05T04:00:00
18.558530,73.857591,1,Assault,2024-08-06T14:00:00
13.132788,80.321186,7,Burglary,2024-04-20T07:00:00
22.506344,88.402282,7,Assault,2024-11-22T03:00:00
18.520734,73.863470,4,Vandalism,2024-09-06T07:00:00
19.044825,72.861243,3,Assault,2024-08-20T08:00:00
13.002931,77.552017,5,Burglary,2024-03-12T18:00:00
18.487742,73.847479,4,Harassment,2024-03-04T09:00:00
22.622158,88.405730,1,Theft,2024-11-28T20:00:00
22.563573,88.362616,7,Vandalism,2024-09-18T19:00:00
19.174397,72.811138,6,Burglary,2024-05-14T01:00:00
19.117408,72.814168,5,Burglary,2024-11-16T23:00:00
13.038167,80.287320,10,Assault,2024-06-12T15:00:00
18.530214,73.834112,9,Burglary,2024-10-23T08:00:00
19.091857,72.800919,9,Vandalism,2024-07-14T19:00:00
13.043819,80.383618,9,Theft,2024-09-01T17:00:00
22.480019,88.366978,5,Harassment,2024-06-13T16:00:00
28.597841,77.111939,9,Burglary,2024-07-23T13:00:00
28.820120,77.186731,4,Burglary,2024-02-10T04:00:00
17.351302,78.554706,4,Burglary,2024-05-25T04:00:00
13.051131,77.501861,5,Robbery,2024-01-26T06:00:00
18.547511,73.901349,1,Burglary,2024-03-15T08:00:00
17.353328,78.478235,1,Burglary,2024-07-12T02:00:00
17.368188,78.493954,6,Vandalism,2024-12-08T02:00:00
17.403179,78.642108,7,Harassment,2024-08-01T03:00:00
18.989437,72.814481,3,Vandalism,2024-01-01T01:00:00
12.884621,77.537736,10,Robbery,2024-07-24T21:00:00
22.580821,88.388116,3,Theft,2024-07-14T12:00:00
28.687059,77.182278,3,Harassment,2024-04-02T08:00:00
13.098380,80.201793,1,Vandalism,2024-07-25T00:00:00
12.999481,77.518443,1,Vandalism,2024-02-11T16:00:00
17.292561,78.473462,9,Burglary,2024-06-19T07:00:00
13.021665,80.351513,4,Assault,2024-11-08T00:00:00
18.549243,73.821723,7,Vandalism,2024-05-26T05:00:00
19.040161,72.784573,1,Assault,2024-11-21T02:00:00
28.608427,77.212232,3,Vandalism,2024-09-24T14:00:00
17.332931,78.516928,2,Burglary,2024-04-17T00:00:00
13.067511,80.235752,9,Theft,2024-06-28T13:00:00
28.735817,77.312967,2,Robbery,2024-04-22T22:00:00
22.609169,88.482039,7,Theft,2024-06-08T13:00:00
18.482109,73.873421,9,Theft,2024-10-11T10:00:00
28.483701,77.105789,7,Vandalism,2024-02-08T21:00:00
18.544457,73.852231,10,Harassment,2024-05-12T00:00:00
13.104979,80.328806,7,Harassment,2024-02-14T01:00:00
22.639689,88.418815,7,Vandalism,2024-06-02T10:00:00
22.525497,88.381193,9,Theft,2024-12-10T13:00:00
22.519185,88.364585,8,Theft,2024-07-23T13:00:00
17.287640,78.466734,2,Theft,2024-12-18T12:00:00
17.333232,78.519617,2,Vandalism,2024-12-21T05:00:00
13.108507,80.296769,6,Burglary,2024-04-04T01:00:00
17.483942,78.554547,8,Harassment,2024-03-14T09:00:00
13.128405,80.257807,10,Harassment,2024-02-10T13:00:00
19.047779,72.896446,2,Burglary,2024-06-13T06:00:00
28.730140,77.020164,8,Burglary,2024-08-09T07:00:00
12.960877,80.254534,2,Theft,2024-02-03T18:00:00
12.896556,77.453921,9,Robbery,2024-04-13T18:00:00
13.032676,80.209823,10,Harassment,2024-06-11T06:00:00
19.156812,72.916837,1,Robbery,2024-01-22T11:00:00
17.532488,78.559710,7,Burglary,2024-08-09T03:00:00
28.753369,77.120504,6,Assault,2024-05-01T17:00:00
17.445410,78.489460,1,Assault,2024-02-27T16:00:00
28.750334,77.123259,5,Burglary,2024-11-10T07:00:00
13.164236,80.281936,10,Vandalism,2024-02-01T17:00:00
13.086952,80.277340,8,Harassment,2024-07-08T05:00:00
22.470367,88.279396,10,Vandalism,2024-07-12T07:00:00
13.008153,77.635269,5,Burglary,2024-07-23T05:00:00
13.141245,80.241870,2,Burglary,2024-03-19T16:00:00
28.742549,77.052692,4,Harassment,2024-11-05T00:00:00
18.961068,72.950693,9,Assault,2024-11-26T17:00:00
13.120798,80.161634,8,Harassment,2024-08-21T21:00:00
13.052464,80.306271,6,Assault,2024-06-22T20:00:00
17.340332,78.457051,4,Robbery,2024-07-21T06:00:00
19.211188,72.977935,7,Theft,2024-04-15T11:00:00
22.555028,88.282781,10,Assault,2024-03-06T02:00:00
13.098494,80.226403,4,Robbery,2024-05-14T14:00:00
13.037544,80.295003,4,Vandalism,2024-02-21T06:00:00
19.026195,72.894101,10,Burglary,2024-05-07T05:00:00
18.482646,73.837243,9,Robbery,2024-07-16T05:00:00
17.354365,78.530023,10,Harassment,2024-02-14T12:00:00
22.555201,88.355310,5,Assault,2024-03-05T17:00:00
28.715847,77.171079,3,Robbery,2024-05-09T09:00:00
18.472859,73.895501,3,Vandalism,2024-11-03T19:00:00
22.592596,88.287982,9,Burglary,2024-02-15T15:00:00
17.321287,78.468222,6,Robbery,2024-08-02T12:00:00
12.965391,77.650431,8,Vandalism,2024-03-03T08:00:00
18.514294,73.864595,5,Harassment,2024-11-25T12:00:00
18.460214,73.792848,3,Robbery,2024-09-15T16:00:00
18.968435,72.960101,1,Assault,2024-07-21T02:00:00
17.344074,78.424586,10,Burglary,2024-01-28T01:00:00
13.119241,80.303927,3,Theft,2024-01-11T20:00:00
17.466964,78.531711,7,Burglary,2024-03-22T04:00:00
19.053565,72.926213,4,Robbery,2024-11-11T20:00:00
18.512528,73.886107,9,Harassment,2024-03-19T19:00:00
12.989976,77.565634,5,Harassment,2024-09-18T20:00:00
28.828777,77.046444,7,Theft,2024-12-13T12:00:00
19.091859,72.892390,5,Vandalism,2024-12-23T04:00:00
19.068467,72.866958,8,Burglary,2024-02-22T19:00:00
12.962572,77.618745,8,Harassment,2024-02-08T11:00:00
13.041685,80.335482,10,Vandalism,2024-09-21T08:00:00
17.491440,78.486886,4,Assault,2024-07-08T00:00:00
18.497981,73.819727,6,Robbery,2024-10-15T06:00:00
18.513642,73.856262,5,Theft,2024-06-19T02:00:00
19.099523,72.905690,9,Vandalism,2024-09-05T07:00:00
12.932579,77.583979,1,Vandalism,2024-04-28T00:00:00
22.552534,88.397567,7,Harassment,2024-01-03T04:00:00
13.197465,80.301191,5,Assault,2024-04-05T01:00:00
12.939640,77.589951,10,Robbery,2024-10-25T17:00:00
19.098053,72.818132,1,Harassment,2024-01-16T00:00:00
12.912226,77.566367,5,Robbery,2024-03-07T17:00:00
22.534577,88.305598,10,Burglary,2024-05-03T22:00:00
28.777634,77.041559,6,Theft,2024-06-14T17:00:00
18.467205,73.834868,2,Harassment,2024-04-18T15:00:00
19.017940,72.835570,10,Harassment,2024-10-02T23:00:00
19.088038,72.766936,2,Vandalism,2024-01-14T22:00:00
17.244580,78.487871,10,Harassment,2024-02-28T23:00:00
13.069615,80.312827,6,Theft,2024-12-05T13:00:00
19.015794,72.870754,1,Robbery,2024-10-09T20:00:00
19.094605,72.879312,9,Assault,2024-08-21T11:00:00
28.665963,77.062023,1,Assault,2024-06-07T19:00:00
28.661703,76.950199,6,Robbery,2024-08-24T20:00:00
13.075942,80.252513,4,Theft,2024-05-07T04:00:00
12.904116,77.653450,4,Robbery,2024-12-01T00:00:00
19.060213,72.884851,5,Robbery,2024-10-21T21:00:00
28.664326,77.121059,9,Vandalism,2024-03-24T12:00:00
17.310877,78.385614,10,Burglary,2024-05-07T14:00:00
22.541279,88.409073,8,Harassment,2024-01-20T09:00:00
22.516620,88.364253,8,Vandalism,2024-05-08T01:00:00
22.634407,88.362021,7,Burglary,2024-05-13T18:00:00
22.541863,88.440992,10,Theft,2024-07-16T12:00:00
13.121761,80.238994,3,Robbery,2024-11-21T03:00:00
22.549626,88.432334,7,Assault,2024-10-14T20:00:00
17.387640,78.433867,3,Robbery,2024-04-13T09:00:00
13.061835,80.310209,1,Vandalism,2024-04-24T19:00:00
22.602653,88.347116,1,Vandalism,2024-01-14T08:00:00
28.657249,77.163805,8,Robbery,2024-10-28T21:00:00
17.421797,78.526420,7,Robbery,2024-11-23T01:00:00
22.521777,88.315953,4,Burglary,2024-09-19T22:00:00
22.538395,88.242863,10,Theft,2024-04-15T02:00:00
22.624608,88.357399,4,Vandalism,2024-08-23T22:00:00
12.865184,77.656549,8,Harassment,2024-07-11T14:00:00
18.559463,73.925434,2,Burglary,2024-07-12T12:00:00
12.903682,77.689313,2,Assault,2024-04-05T12:00:00
12.956078,77.649961,7,Burglary,2024-09-05T03:00:00
17.331635,78.523423,9,Vandalism,2024-06-15T00:00:00
19.058188,72.917385,6,Theft,2024-09-01T09:00:00
28.705097,77.102085,5,Vandalism,2024-05-12T14:00:00
17.354482,78.637484,6,Theft,2024-03-15T20:00:00
18.542527,73.808169,3,Robbery,2024-12-06T19:00:00
19.005499,72.898001,9,Harassment,2024-12-18T15:00:00
12.985554,80.233001,1,Burglary,2024-09-21T10:00:00
18.474215,73.878746,1,Vandalism,2024-12-27T05:00:00
28.672826,77.099789,10,Robbery,2024-02-28T21:00:00
17.289602,78.544653,10,Harassment,2024-01-13T15:00:00
12.989812,77.547647,7,Assault,2024-07-19T06:00:00
19.002577,72.768123,5,Vandalism,2024-10-04T07:00:00
13.111166,80.317294,3,Theft,2024-06-26T00:00:00
17.399881,78.463331,6,Theft,2024-06-04T17:00:00
28.714735,77.151832,7,Theft,2024-01-09T16:00:00
19.124220,72.978686,4,Assault,2024-04-04T15:00:00
22.468372,88.339933,7,Theft,2024-11-12T03:00:00
13.044050,80.265160,8,Assault,2024-02-10T00:00:00
